iter	Passed	Remaining
0	8	8563
1	16	8219
2	23	7685
3	30	7470
4	42	8270
5	67	10992
6	81	11394
7	99	12040
8	107	11601
9	115	11171
10	123	10895
11	130	10549
12	138	10307
13	145	10024
14	153	9883
15	156	9436
16	164	9311
17	171	9159
18	177	9001
19	185	8900
20	193	8843
21	201	8769
22	208	8675
23	215	8602
24	223	8555
25	231	8494
26	240	8512
27	247	8438
28	255	8383
29	263	8350
30	271	8312
31	276	8214
32	282	8114
33	289	8069
34	296	8027
35	304	7993
36	312	7961
37	318	7911
38	326	7885
39	333	7843
40	340	7816
41	347	7776
42	354	7728
43	362	7719
44	366	7629
45	374	7611
46	385	7653
47	395	7678
48	404	7691
49	414	7720
50	423	7731
51	449	8034
52	458	8031
53	469	8056
54	478	8063
55	488	8075
56	497	8064
57	505	8048
58	514	8041
59	523	8041
60	530	8003
61	537	7972
62	545	7944
63	553	7933
64	561	7916
65	570	7912
66	579	7899
67	587	7882
68	594	7854
69	601	7832
70	609	7808
71	617	7793
72	624	7771
73	633	7762
74	641	7749
75	649	7732
76	656	7710
77	665	7708
78	672	7683
79	680	7664
80	689	7662
81	698	7655
82	706	7642
83	714	7627
84	722	7614
85	730	7603
86	738	7587
87	745	7564
88	753	7548
89	761	7536
90	766	7498
91	774	7480
92	781	7462
93	788	7440
94	792	7394
95	800	7383
96	808	7370
97	812	7319
98	819	7302
99	826	7284
100	835	7279
101	842	7260
102	849	7243
103	855	7217
104	862	7198
105	870	7183
106	877	7169
107	884	7150
108	892	7138
109	899	7126
110	907	7115
111	916	7112
112	924	7104
113	933	7098
114	941	7091
115	949	7082
116	957	7071
117	964	7055
118	972	7044
119	980	7034
120	987	7021
121	994	6999
122	999	6973
123	1006	6958
124	1012	6936
125	1019	6920
126	1026	6905
127	1034	6892
128	1041	6881
129	1048	6866
130	1055	6849
131	1062	6832
132	1066	6799
133	1072	6781
134	1079	6765
135	1085	6746
136	1093	6734
137	1099	6715
138	1107	6710
139	1114	6694
140	1122	6686
141	1129	6671
142	1137	6665
143	1145	6657
144	1153	6650
145	1160	6637
146	1169	6637
147	1180	6644
148	1195	6677
149	1206	6682
150	1212	6666
151	1224	6679
152	1234	6682
153	1250	6716
154	1270	6768
155	1280	6773
156	1290	6773
157	1300	6776
158	1310	6772
159	1318	6763
160	1326	6753
161	1334	6747
162	1342	6735
163	1352	6735
164	1358	6718
165	1365	6703
166	1371	6687
167	1379	6675
168	1385	6658
169	1393	6646
170	1399	6630
171	1408	6625
172	1415	6612
173	1424	6605
174	1432	6599
175	1440	6589
176	1448	6578
177	1454	6562
178	1462	6552
179	1469	6539
180	1476	6524
181	1483	6513
182	1490	6498
183	1498	6491
184	1505	6477
185	1513	6470
186	1521	6460
187	1529	6451
188	1535	6436
189	1546	6436
190	1555	6432
191	1563	6426
192	1571	6417
193	1578	6404
194	1586	6395
195	1594	6387
196	1600	6369
197	1608	6361
198	1616	6350
199	1624	6345
200	1632	6333
201	1641	6328
202	1648	6317
203	1655	6305
204	1662	6294
205	1671	6289
206	1679	6278
207	1685	6263
208	1692	6251
209	1699	6239
210	1706	6226
211	1713	6215
212	1719	6200
213	1726	6189
214	1733	6176
215	1741	6169
216	1748	6157
217	1757	6152
218	1768	6154
219	1778	6151
220	1786	6142
221	1793	6133
222	1801	6122
223	1809	6114
224	1816	6101
225	1823	6091
226	1829	6078
227	1837	6070
228	1846	6062
229	1852	6048
230	1859	6038
231	1867	6030
232	1874	6017
233	1880	6003
234	1889	5998
235	1895	5984
236	1902	5973
237	1910	5963
238	1916	5949
239	1923	5938
240	1930	5928
241	1939	5921
242	1947	5914
243	1957	5911
244	1966	5906
245	1974	5898
246	1981	5887
247	1987	5873
248	1994	5863
249	2001	5852
250	2007	5838
251	2016	5834
252	2024	5824
253	2031	5815
254	2039	5806
255	2047	5798
256	2056	5792
257	2064	5785
258	2072	5778
259	2080	5768
260	2088	5761
261	2096	5753
262	2104	5744
263	2112	5737
264	2120	5728
265	2128	5720
266	2136	5714
267	2144	5705
268	2153	5698
269	2162	5693
270	2169	5683
271	2179	5680
272	2186	5671
273	2196	5666
274	2204	5659
275	2215	5658
276	2224	5652
277	2234	5651
278	2242	5642
279	2250	5633
280	2260	5630
281	2267	5620
282	2274	5610
283	2283	5603
284	2290	5594
285	2298	5584
286	2305	5574
287	2313	5566
288	2320	5556
289	2327	5545
290	2334	5535
291	2341	5525
292	2348	5514
293	2355	5505
294	2362	5494
295	2372	5489
296	2381	5483
297	2389	5475
298	2396	5466
299	2403	5456
300	2411	5448
301	2421	5443
302	2429	5435
303	2439	5431
304	2445	5419
305	2452	5410
306	2459	5400
307	2467	5390
308	2473	5380
309	2482	5373
310	2492	5369
311	2504	5369
312	2512	5362
313	2525	5364
314	2532	5354
315	2539	5343
316	2546	5334
317	2554	5325
318	2561	5316
319	2569	5306
320	2576	5297
321	2584	5289
322	2591	5280
323	2600	5272
324	2607	5264
325	2615	5254
326	2623	5246
327	2630	5237
328	2639	5230
329	2646	5220
330	2653	5210
331	2660	5201
332	2667	5191
333	2676	5184
334	2685	5178
335	2691	5166
336	2700	5160
337	2708	5152
338	2717	5145
339	2723	5134
340	2730	5125
341	2737	5114
342	2744	5104
343	2751	5094
344	2759	5087
345	2766	5077
346	2774	5068
347	2779	5056
348	2786	5046
349	2793	5036
350	2801	5028
351	2809	5020
352	2815	5009
353	2823	5001
354	2831	4993
355	2838	4983
356	2845	4974
357	2853	4965
358	2861	4958
359	2868	4947
360	2873	4934
361	2880	4925
362	2887	4916
363	2896	4909
364	2903	4900
365	2912	4894
366	2920	4886
367	2927	4876
368	2934	4866
369	2941	4857
370	2946	4844
371	2951	4831
372	2957	4820
373	2963	4810
374	2971	4801
375	2978	4792
376	2985	4782
377	2992	4773
378	3001	4766
379	3008	4758
380	3015	4748
381	3021	4737
382	3028	4729
383	3037	4721
384	3045	4714
385	3052	4705
386	3060	4698
387	3069	4691
388	3078	4684
389	3088	4679
390	3096	4672
391	3105	4666
392	3112	4657
393	3119	4648
394	3127	4639
395	3135	4632
396	3142	4622
397	3148	4612
398	3156	4603
399	3165	4597
400	3173	4589
401	3181	4582
402	3189	4573
403	3198	4567
404	3204	4557
405	3212	4549
406	3219	4540
407	3229	4535
408	3238	4528
409	3246	4520
410	3253	4512
411	3261	4504
412	3267	4494
413	3274	4484
414	3282	4476
415	3289	4468
416	3296	4459
417	3305	4451
418	3312	4442
419	3320	4434
420	3326	4424
421	3333	4416
422	3341	4407
423	3348	4398
424	3356	4390
425	3365	4384
426	3371	4374
427	3379	4366
428	3384	4355
429	3396	4352
430	3405	4345
431	3412	4336
432	3417	4325
433	3422	4313
434	3432	4308
435	3441	4301
436	3448	4292
437	3455	4283
438	3462	4275
439	3469	4266
440	3476	4257
441	3483	4247
442	3490	4239
443	3497	4229
444	3504	4221
445	3512	4212
446	3520	4205
447	3527	4196
448	3534	4188
449	3541	4178
450	3549	4171
451	3557	4163
452	3563	4154
453	3570	4144
454	3579	4137
455	3586	4129
456	3594	4121
457	3601	4112
458	3611	4107
459	3623	4104
460	3633	4098
461	3640	4089
462	3650	4083
463	3655	4072
464	3664	4066
465	3670	4056
466	3679	4049
467	3687	4042
468	3696	4035
469	3702	4025
470	3710	4018
471	3716	4008
472	3723	3998
473	3730	3990
474	3738	3982
475	3747	3975
476	3759	3971
477	3767	3964
478	3776	3957
479	3785	3950
480	3792	3942
481	3800	3935
482	3810	3928
483	3818	3920
484	3827	3914
485	3835	3906
486	3843	3899
487	3852	3891
488	3858	3882
489	3866	3873
490	3871	3863
491	3879	3855
492	3886	3847
493	3895	3839
494	3903	3832
495	3912	3825
496	3919	3816
497	3927	3809
498	3936	3802
499	3944	3794
500	3952	3786
501	3961	3779
502	3968	3771
503	3976	3763
504	3983	3754
505	3992	3748
506	4000	3740
507	4007	3731
508	4013	3722
509	4021	3714
510	4028	3705
511	4035	3696
512	4042	3688
513	4049	3679
514	4060	3673
515	4073	3670
516	4088	3668
517	4097	3662
518	4106	3655
519	4119	3651
520	4127	3644
521	4137	3638
522	4145	3630
523	4153	3622
524	4161	3614
525	4166	3604
526	4175	3597
527	4183	3589
528	4191	3581
529	4198	3572
530	4205	3564
531	4213	3556
532	4223	3549
533	4230	3540
534	4239	3534
535	4247	3526
536	4253	3516
537	4261	3508
538	4267	3499
539	4275	3492
540	4283	3483
541	4289	3474
542	4296	3466
543	4305	3458
544	4312	3449
545	4318	3440
546	4325	3432
547	4333	3423
548	4340	3415
549	4346	3406
550	4353	3397
551	4362	3390
552	4370	3382
553	4378	3374
554	4386	3366
555	4393	3358
556	4400	3349
557	4407	3341
558	4413	3332
559	4422	3324
560	4430	3316
561	4437	3308
562	4446	3301
563	4453	3293
564	4460	3283
565	4467	3275
566	4474	3267
567	4479	3257
568	4487	3249
569	4494	3240
570	4501	3231
571	4508	3223
572	4516	3215
573	4522	3206
574	4531	3199
575	4538	3191
576	4547	3184
577	4555	3176
578	4562	3167
579	4567	3157
580	4571	3147
581	4578	3138
582	4585	3130
583	4593	3122
584	4599	3113
585	4608	3106
586	4614	3097
587	4623	3090
588	4631	3082
589	4639	3074
590	4648	3067
591	4653	3057
592	4659	3048
593	4667	3040
